epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.782,0.81611,1.97363,1.02591,0.99469,1,0.99477,0.87214,0.56413,1.04994,0.8168,0.000471522,0.000471522,0.000471522
2,82.6476,0.55266,0.72551,0.91458,0.99783,1,0.99445,0.91657,0.38857,0.47144,0.78292,0.000938471,0.000938471,0.000938471
3,109.879,0.47351,0.57191,0.88251,0.99715,1,0.995,0.92987,0.44325,0.47967,0.7988,0.00139599,0.00139599,0.00139599
4,137.583,0.44626,0.5448,0.87301,0.99812,1,0.995,0.94522,0.34931,0.44514,0.78044,0.00138656,0.00138656,0.00138656
5,165.427,0.39097,0.48479,0.85607,0.99782,1,0.99492,0.96257,0.29357,0.40227,0.7674,0.00137241,0.00137241,0.00137241
6,192.832,0.37479,0.46188,0.85133,0.99699,0.99961,0.99497,0.95437,0.33302,0.40247,0.77837,0.00135826,0.00135826,0.00135826
7,220.308,0.37696,0.44074,0.84946,0.99803,1,0.99482,0.98268,0.25275,0.34699,0.75952,0.00134412,0.00134412,0.00134412
8,249.021,0.34257,0.41605,0.84058,0.99773,1,0.99497,0.97694,0.24418,0.33042,0.75924,0.00132997,0.00132997,0.00132997
9,278.275,0.32734,0.39315,0.83544,0.99822,1,0.995,0.98956,0.2126,0.29898,0.75211,0.00131582,0.00131582,0.00131582
10,302.619,0.32196,0.37935,0.84018,0.99809,1,0.99492,0.98751,0.23179,0.28857,0.75558,0.00130168,0.00130168,0.00130168
11,312.835,0.31269,0.36054,0.83587,0.99791,1,0.995,0.98259,0.26317,0.29803,0.75938,0.00128753,0.00128753,0.00128753
12,322.942,0.30106,0.34603,0.83334,0.9975,1,0.995,0.98478,0.22607,0.29279,0.75507,0.00127338,0.00127338,0.00127338
13,333.329,0.31428,0.33839,0.83353,0.99775,1,0.995,0.97833,0.26801,0.27518,0.76273,0.00125923,0.00125923,0.00125923
14,344.427,0.33496,0.34038,0.83925,0.9979,1,0.99494,0.98515,0.21126,0.25755,0.75585,0.00124509,0.00124509,0.00124509
15,355.628,0.3158,0.32421,0.83745,0.99793,1,0.9949,0.98724,0.24476,0.25605,0.75832,0.00123094,0.00123094,0.00123094
16,366.611,0.29098,0.31305,0.83045,0.9979,1,0.99494,0.99204,0.18446,0.22908,0.74635,0.00121679,0.00121679,0.00121679
