epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.664,1.64596,3.9748,1.30967,0.00714,0.10811,0.00251,0.00033,1.20572,4.03432,1.29841,7.145e-05,7.145e-05,7.145e-05
2,24.9997,1.18436,3.42839,1.04391,0.0198,0.37452,0.01791,0.01214,1.03934,3.51998,0.91394,0.000155634,0.000155634,0.000155634
3,25.9597,0.95974,3.0177,0.917,0.01643,0.4574,0.07019,0.04458,0.89915,3.46994,0.86329,0.00023812,0.00023812,0.00023812
4,26.9478,0.81231,2.41211,0.88073,0.03363,0.79408,0.34217,0.2109,0.83332,3.27817,0.83377,0.000318909,0.000318909,0.000318909
5,27.8971,0.8567,1.88741,0.89352,0.03511,0.93436,0.38865,0.15714,1.01005,3.20719,0.86587,0.000397999,0.000397999,0.000397999
6,28.8253,0.82223,1.60595,0.86836,0.03277,0.92535,0.47738,0.31682,0.83814,2.9949,0.83684,0.000475393,0.000475393,0.000475393
7,29.7149,0.84076,1.37888,0.85772,0.0328,0.93436,0.51262,0.2594,0.81577,2.91741,0.83319,0.000551088,0.000551088,0.000551088
8,30.7936,0.78697,1.02653,0.8888,0.03434,0.93436,0.49796,0.29499,0.81804,2.80023,0.84328,0.000625086,0.000625086,0.000625086
9,31.6744,0.78687,1.01547,0.86577,0.03621,0.8677,0.47617,0.3165,0.74361,2.71889,0.85301,0.000697386,0.000697386,0.000697386
10,32.5447,0.77784,0.94862,0.85716,1,0.28839,0.40644,0.31373,0.70838,2.53931,0.85975,0.000767989,0.000767989,0.000767989
11,33.3905,0.70751,0.85737,0.85113,1,0.2683,0.46504,0.37495,0.67736,2.33365,0.86657,0.000836894,0.000836894,0.000836894
12,34.2348,0.79777,0.81852,0.86677,0.99987,0.30631,0.50548,0.41217,0.70961,2.16248,0.87295,0.000904101,0.000904101,0.000904101
13,35.0796,0.67757,0.74115,0.86458,0.99934,0.30631,0.65532,0.53555,0.75553,2.09523,0.87896,0.000969611,0.000969611,0.000969611
14,36.0853,0.75397,0.70958,0.87272,0.9957,0.30631,0.64832,0.56394,0.65884,1.90596,0.86041,0.00103342,0.00103342,0.00103342
